acuracia,bal_acuracia,precision_macro,recall_macro,f1_macro,f2_macro,precision_weighted,recall_weighted,f1_weighted,f2_weighted,auc_roc,score_composto,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp,Alto_precision,Alto_recall,Alto_f1,Alto_f2,Baixo_precision,Baixo_recall,Baixo_f1,Baixo_f2,Medio_precision,Medio_recall,Medio_f1,Medio_f2
0.9417,0.941,0.919,0.941,0.9284,0.9355,0.9463,0.9417,0.9427,0.9418,0.9903,0.9491,0.9066,0.003,RandomForest_default,600,2026-06-04 19:46:02,0.9815,0.9138,0.9464,0.9266,0.9756,1.0,0.9877,0.995,0.8,0.9091,0.8511,0.885
0.95,0.9281,0.9304,0.9281,0.9292,0.9286,0.9503,0.95,0.9501,0.95,0.9927,0.949,0.9037,0.0057,GradientBoosting,800,2026-06-04 19:51:09,0.9512,0.963,0.9571,0.9606,1.0,0.9815,0.9907,0.9851,0.84,0.84,0.84,0.84
0.9333,0.9548,0.908,0.9548,0.9224,0.9392,0.9517,0.9333,0.9362,0.9328,0.9947,0.9488,0.906,0.0215,RandomForest_default,600,2026-06-04 19:46:07,1.0,0.8644,0.9273,0.8885,1.0,1.0,1.0,1.0,0.7241,1.0,0.84,0.9292
0.9375,0.95,0.9018,0.95,0.9194,0.9358,0.9509,0.9375,0.9404,0.9376,0.995,0.9485,0.9202,0.0035,RandomForest_default,800,2026-06-04 19:46:18,0.9867,0.8916,0.9367,0.9091,1.0,1.0,1.0,1.0,0.7188,0.9583,0.8214,0.8984
0.9417,0.9389,0.9158,0.9389,0.9258,0.9332,0.9462,0.9417,0.943,0.9419,0.9927,0.9482,0.9346,0.0183,RandomForest_deep,600,2026-06-04 19:47:07,0.9649,0.9167,0.9402,0.9259,1.0,1.0,1.0,1.0,0.7826,0.9,0.8372,0.8738
0.9437,0.9327,0.9251,0.9327,0.9287,0.931,0.9444,0.9438,0.9439,0.9438,0.9914,0.9482,0.9213,0.016,RandomForest_default,800,2026-06-04 19:46:11,0.9605,0.9359,0.9481,0.9407,0.9815,1.0,0.9907,0.9962,0.8333,0.8621,0.8475,0.8562
0.94,0.9465,0.9115,0.9465,0.9251,0.9369,0.9489,0.94,0.942,0.9401,0.9883,0.948,0.9223,0.0247,RandomForest_default,1000,2026-06-04 19:46:29,0.9783,0.9,0.9375,0.9146,1.0,1.0,1.0,1.0,0.7561,0.9394,0.8378,0.896
0.9375,0.9428,0.9129,0.9428,0.9247,0.9347,0.9456,0.9375,0.9391,0.9375,0.9928,0.9479,0.9034,0.013,RandomForest_wide,800,2026-06-04 19:49:07,0.9859,0.8974,0.9396,0.9138,0.9815,1.0,0.9907,0.9962,0.7714,0.931,0.8438,0.894
0.94,0.9403,0.9142,0.9403,0.9251,0.9336,0.9458,0.94,0.9415,0.9402,0.9906,0.9473,0.9292,0.0083,RandomForest_deep,1000,2026-06-04 19:47:43,0.9677,0.9091,0.9375,0.9202,1.0,1.0,1.0,1.0,0.775,0.9118,0.8378,0.8807
0.9417,0.9316,0.9245,0.9316,0.9279,0.93,0.9427,0.9417,0.9421,0.9418,0.9921,0.9472,0.9093,0.0072,GradientBoosting,600,2026-06-04 19:50:42,0.9474,0.931,0.9391,0.9343,1.0,1.0,1.0,1.0,0.8261,0.8636,0.8444,0.8559
0.935,0.9437,0.9109,0.9437,0.9231,0.9343,0.945,0.935,0.937,0.935,0.9917,0.9464,0.9109,0.0187,RandomForest_deep,1000,2026-06-04 19:47:51,0.9773,0.8866,0.9297,0.9034,1.0,1.0,1.0,1.0,0.7556,0.9444,0.8395,0.8995
0.9375,0.9391,0.9167,0.9391,0.9252,0.9328,0.9451,0.9375,0.9395,0.9378,0.9852,0.9464,0.8792,0.0497,RandomForest_default,400,2026-06-04 19:45:50,0.9722,0.9211,0.9459,0.9309,1.0,0.963,0.9811,0.9701,0.7778,0.9333,0.8485,0.8974
0.95,0.9147,0.9459,0.9147,0.9282,0.9197,0.9495,0.95,0.9485,0.9491,0.9959,0.9455,0.8353,0.0243,GradientBoosting,400,2026-06-04 19:49:55,0.9286,0.975,0.9512,0.9653,1.0,1.0,1.0,1.0,0.9091,0.7692,0.8333,0.7937
0.9417,0.9278,0.9196,0.9278,0.9235,0.926,0.9428,0.9417,0.9421,0.9418,0.9946,0.9455,0.9197,0.0271,GradientBoosting,600,2026-06-04 19:50:57,0.9492,0.9333,0.9412,0.9365,1.0,1.0,1.0,1.0,0.8095,0.85,0.8293,0.8416
0.95,0.9211,0.9322,0.9211,0.9261,0.923,0.9488,0.95,0.9491,0.9496,0.9887,0.9449,0.9022,0.035,RandomForest_deep,800,2026-06-04 19:47:25,0.9634,0.9634,0.9634,0.9634,0.9636,1.0,0.9815,0.9925,0.8696,0.8,0.8333,0.813
